

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
080.047  000.129  000.129: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
080.186  000.031  000.031: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/fugitiveline.vim
080.341  000.054  000.054: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/ale.vim
080.626  000.076  000.076: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
080.800  000.028  000.028: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/neomake.vim
080.921  000.034  000.034: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/po.vim
081.044  000.056  000.056: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
081.213  000.096  000.096: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline.vim
081.318  000.030  000.030: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
081.519  000.052  000.052: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/tabs.vim
081.726  000.095  000.095: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/tabline/buffers.vim
081.946  000.024  000.024: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/keymap.vim
082.290  000.021  000.021: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/searchcount.vim
083.257  000.025  000.025: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-devicons/autoload/airline/extensions/webdevicons.vim
088.132  000.030  000.030: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/themes.vim
089.602  001.591  001.561: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/gruvbox/autoload/airline/themes/gruvbox.vim
108.096  000.097  000.097: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/builder.vim
108.470  000.054  000.054: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-airline/autoload/airline/extensions/default.vim
147.626  000.109  000.109: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/autoload/ale.vim
147.952  066.467: opening buffers
149.075  000.406  000.406: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-polyglot/autoload/polyglot/sleuth.vim
149.669  000.113  000.113: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-peekaboo/autoload/peekaboo.vim
150.758  000.042  000.042: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/fzf-session.vim/autoload/fzf_session.vim
151.064  000.071  000.071: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gitgutter/autoload/gitgutter.vim
152.153  000.048  000.048: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/core.vim
152.477  000.619  000.571: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/utils.vim
152.580  001.072  000.453: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/neomake/autoload/neomake/highlights.vim
